CHANNEL,SOLD_TO
CS OTHERS,100028281
LKA,156059545
GKA,100112354
RETAILCAPS,100044920
RETAILCAPS,100052885
LKA,156060321
RETAILCAPS,100046185
GKA,156054806
WHOLESALES,156052506
CS OXXO,156061408
RETAILCAPS,100053359
GKA,156057716
RETAILCAPS,100061517
RETAILCAPS,100043884
GKA,100026761
WHOLESALES,156052486
RETAILCAPS,100056068
RETAILCAPS,100058498
RETAILCAPS,100060463
CS OTHERS,100073198
RETAILCAPS,100057673
RETAILCAPS,100065240
RETAILCAPS,100045588
RETAILCAPS,100058404
RETAILCAPS,100064663
WHOLESALES,156063427
GKA,156058266
RETAILCAPS,100032278
GKA,100102472
RETAILCAPS,100041886
CS OTHERS,100083829
LKA,156059572
RETAILCAPS,100039698
CS OTHERS,156059687
RETAILCAPS,100034597
CS OTHERS,100091855
RETAILCAPS,156063295
RETAILCAPS,100038799
RETAILCAPS,100052727
RETAILCAPS,100045116
RETAILCAPS,100061173
RETAILCAPS,100041367
RETAILCAPS,100058546
GKA,156058016
RETAILCAPS,100056402
CS OTHERS,100085040
WHOLESALES,156052308
RETAILCAPS,PL5873S014
RETAILCAPS,100035788
RETAILCAPS,100051942
RETAILCAPS,100038330
CS OTHERS,100085584
RETAILCAPS,100048972
CS OTHERS,156062164
LKA,156057420
RETAILCAPS,156063052
RETAILCAPS,100042363
RETAILCAPS,100096619
RETAILCAPS,100047672
RETAILCAPS,100055075
RETAILCAPS,100089978
RETAILCAPS,100027636
CS OTHERS,156064054
RETAILCAPS,100040335
RETAILCAPS,100038569
RETAILCAPS,100053449
RETAILCAPS,156100904
RETAILCAPS,100050169
RETAILCAPS,100046205
RETAILCAPS,100062804
RETAILCAPS,100054672
RETAILCAPS,100060351
RETAILCAPS,100057585
WHOLESALES,156052030
RETAILCAPS,100048754
CS OXXO,156059132
CS OTHERS,156065509
RETAILCAPS,100061436
CS OTHERS,100077682
RETAILCAPS,100051376
RETAILCAPS,100040421
CS OTHERS,100101657
RETAILCAPS,100044122
WHOLESALES,100070671
RETAILCAPS,156066562
CS OTHERS,156064122
RETAILCAPS,100066107
RETAILCAPS,100032894
LKA,156058500
RETAILCAPS,156100996
RETAILCAPS,100064594
RETAILCAPS,100039302
CLUBES,156054085
RETAILCAPS,100045924
CS OTHERS,100101268
RETAILCAPS,100038478
RETAILCAPS,100065564
CS OTHERS,100084192
RETAILCAPS,100040959
CS OTHERS,100073576
RETAILCAPS,PL5874V011
RETAILCAPS,100040095
CS OXXO,156061480
GKA,156057764
RETAILCAPS,100044283
RETAILCAPS,156101228
RETAILCAPS,100039717
RETAILCAPS,100045952
WHOLESALES,156056248
RETAILCAPS,100040852
RETAILCAPS,100041634
WHOLESALES,156060829
RETAILCAPS,100051963
GKA,100081442
RETAILCAPS,PL5867V023
RETAILCAPS,100041586
RETAILCAPS,100052556
RETAILCAPS,100058168
RETAILCAPS,156100146
RETAILCAPS,100038271
LKA,156054026
RETAILCAPS,100039159
RETAILCAPS,156101154
RETAILCAPS,100047684
RETAILCAPS,100056629
RETAILCAPS,100073210
GKA,100111746
RETAILCAPS,100058365
RETAILCAPS,156100577
LKA,100110387
CS OTHERS,100094095
RETAILCAPS,100045475
RETAILCAPS,156100213
RETAILCAPS,156100977
RETAILCAPS,PL5891S027
CS OTHERS,100068920
GKA,156055376
RETAILCAPS,100065315
GKA,156055658
RETAILCAPS,100049992
RETAILCAPS,156100604
LKA,156053298
RETAILCAPS,100046182
LKA,156053160
RETAILCAPS,100050414
RETAILCAPS,100049196
RETAILCAPS,100065527
CS OTHERS,100032653
RETAILCAPS,100059533
RETAILCAPS,100047626
RETAILCAPS,100039345
RETAILCAPS,100047754
RETAILCAPS,156059116
WHOLESALES,156054202
GKA,100102488
WHOLESALES,100070008
CS OTHERS,100127850
RETAILCAPS,100063070
WHOLESALES,156062583
RETAILCAPS,100053088
RETAILCAPS,PL5911V021
RETAILCAPS,PL5864S017
RETAILCAPS,100048408
GKA,100113851
GKA,156064365
RETAILCAPS,100058013
GKA,156058116
RETAILCAPS,100053965
CS OTHERS,100033898
RETAILCAPS,100045873
RETAILCAPS,100060881
RETAILCAPS,100048781
RETAILCAPS,100046923
CS OTHERS,100033721
RETAILCAPS,100069967
RETAILCAPS,100045028
RETAILCAPS,100036814
RETAILCAPS,100036384
RETAILCAPS,100044262
RETAILCAPS,100048373
RETAILCAPS,156065125
RETAILCAPS,100045819
WHOLESALES,156065187
GKA,100102359
CS OTHERS,100088327
CS OTHERS,156063152
RETAILCAPS,100037436
LKA,156056516
CS OTHERS,100105096
LKA,156056382
RETAILCAPS,100051209
RETAILCAPS,100039836
RETAILCAPS,100059282
CS OTHERS,156060455
RETAILCAPS,100055815
RETAILCAPS,100052956
RETAILCAPS,156059394
LKA,156064449
RETAILCAPS,PL5903V002
RETAILCAPS,100043571
RETAILCAPS,100058536
CS OTHERS,100032656
RETAILCAPS,100051215
RETAILCAPS,100050185
RETAILCAPS,100047632
RETAILCAPS,100099149
RETAILCAPS,100054337
RETAILCAPS,100058995
RETAILCAPS,100059519
RETAILCAPS,100059848
CS OTHERS,100089972
RETAILCAPS,100045401
RETAILCAPS,100056922
RETAILCAPS,156100160
WHOLESALES,156054073
RETAILCAPS,100044231
LKA,100103200
LKA,100110398
RETAILCAPS,PL5914V003
CS OTHERS,100086807
LKA,100112982
CLUBES,156053927
RETAILCAPS,100035451
RETAILCAPS,100044956
RETAILCAPS,100060129
RETAILCAPS,100120078
CS OXXO,156063989
RETAILCAPS,100057625
RETAILCAPS,100043416
WHOLESALES,156062471
RETAILCAPS,100032655
RETAILCAPS,100055320
RETAILCAPS,100059541
LKA,156054692
RETAILCAPS,PL5884S021
RETAILCAPS,100044147
RETAILCAPS,100062168
WHOLESALES,156056903
LKA,156056530
RETAILCAPS,156100450
RETAILCAPS,100033037
CS OTHERS,156065435
RETAILCAPS,100065547
RETAILCAPS,100063729
LKA,156054288
RETAILCAPS,100048231
RETAILCAPS,100046431
LKA,100114655
RETAILCAPS,100041540
WHOLESALES,156052297
RETAILCAPS,100051071
RETAILCAPS,156101305
LKA,156053711
RETAILCAPS,100056346
RETAILCAPS,156063071
RETAILCAPS,156057604
LKA,156053009
NEWCHANNEL,156066167
RETAILCAPS,100051344
RETAILCAPS,100048121
WHOLESALES,156059948
WHOLESALES,156063109
RETAILCAPS,100047628
LKA,156057587
LKA,156057412
RETAILCAPS,100047370
WHOLESALES,156063874
RETAILCAPS,100049421
RETAILCAPS,100040161
RETAILCAPS,100037313
RETAILCAPS,100062116
NEWCHANNEL,156053471
WHOLESALES,156059033
GKA,156058119
RETAILCAPS,100084136
LKA,100072920
CS OTHERS,100073034
RETAILCAPS,PL5887S003
RETAILCAPS,100062345
RETAILCAPS,PL5905V007
RETAILCAPS,100044627
RETAILCAPS,100043737
RETAILCAPS,100059052
RETAILCAPS,100063059
RETAILCAPS,100045383
CS OTHERS,156058817
RETAILCAPS,100099133
LKA,100099348
LKA,156057646
GKA,100025146
RETAILCAPS,PL5904V012
GKA,156064272
RETAILCAPS,100041614
CS OTHERS,156059953
RETAILCAPS,100066429
RETAILCAPS,100062835
RETAILCAPS,100039729
LKA,156062612
RETAILCAPS,100055931
RETAILCAPS,156100949
RETAILCAPS,100036080
CS OTHERS,156059694
RETAILCAPS,100096453
CS OTHERS,100077732
CS OTHERS,100114238
RETAILCAPS,100055256
RETAILCAPS,100043061
WHOLESALES,100072112
CS OXXO,100023414
RETAILCAPS,100061628
RETAILCAPS,156101171
RETAILCAPS,PL5916S005
CS OTHERS,100033840
RETAILCAPS,100055957
WHOLESALES,100051402
RETAILCAPS,156064653
RETAILCAPS,PL5863V007
RETAILCAPS,100030868
RETAILCAPS,100032559
LKA,156052994
CLUBES,156058413
RETAILCAPS,PL5909V017
GKA,156057703
RETAILCAPS,100060517
RETAILCAPS,100044491
CS OXXO,156063994
CS OTHERS,156060079
RETAILCAPS,100046315
RETAILCAPS,100037627
RETAILCAPS,100039565
RETAILCAPS,PL5891V043
CS OTHERS,100073177
RETAILCAPS,100054274
RETAILCAPS,100040079
RETAILCAPS,100038189
RETAILCAPS,100059207
RETAILCAPS,100063961
NEWCHANNEL,156054734
RETAILCAPS,156056567
GKA,156056036
RETAILCAPS,100047587
RETAILCAPS,100047676
LKA,100040414
CS OTHERS,100110598
WHOLESALES,100058455
LKA,156054331
RETAILCAPS,100036809
RETAILCAPS,156062529
RETAILCAPS,100061008
CS OTHERS,156060564
RETAILCAPS,100037919
CS OTHERS,100127938
P. SIGMA,100126664
RETAILCAPS,156059341
RETAILCAPS,100041427
GKA,156058229
RETAILCAPS,100060912
RETAILCAPS,100127663
RETAILCAPS,PL5909S017
WHOLESALES,156061976
GKA,156064417
RETAILCAPS,100051425
WHOLESALES,156060612
RETAILCAPS,156052395
RETAILCAPS,100059480
RETAILCAPS,100032349
GKA,100106119
RETAILCAPS,100044925
RETAILCAPS,156066099
RETAILCAPS,100059345
RETAILCAPS,100043120
GKA,156058127
WHOLESALES,156063551
RETAILCAPS,156052400
RETAILCAPS,100054903
RETAILCAPS,PL5901S015
RETAILCAPS,156055625
RETAILCAPS,100044228
RETAILCAPS,PL5873S011
RETAILCAPS,100034606
RETAILCAPS,100064742
RETAILCAPS,100039678
RETAILCAPS,100048860
RETAILCAPS,100109530
RETAILCAPS,100054388
RETAILCAPS,100066043
RETAILCAPS,100037408
CS OTHERS,100073975
RETAILCAPS,156100821
CS OTHERS,100051508
RETAILCAPS,156101191
RETAILCAPS,100052849
RETAILCAPS,100055951
RETAILCAPS,100035854
WHOLESALES,156056912
RETAILCAPS,100033136
WHOLESALES,156062110
GKA,100111885
RETAILCAPS,156100779
RETAILCAPS,100064909
RETAILCAPS,156100351
RETAILCAPS,PL5893S003
WHOLESALES,100033496
LKA,100092911
RETAILCAPS,100059871
RETAILCAPS,100040070
LKA,156064808
GKA,100031175
CLUBES,156053329
GKA,156057715
RETAILCAPS,100053656
LKA,156057346
CS OTHERS,156064144
GKA,156057839
RETAILCAPS,100061522
RETAILCAPS,100040985
RETAILCAPS,100051388
RETAILCAPS,100054033
RETAILCAPS,100056184
CS OTHERS,100084111
CS OTHERS,156065340
RETAILCAPS,100048510
RETAILCAPS,100064585
RETAILCAPS,100038907
RETAILCAPS,100037390
RETAILCAPS,100038603
NEWCHANNEL,100110181
LKA,156066388
RETAILCAPS,PL5913V002
GKA,156054512
NEWCHANNEL,156062816
WHOLESALES,156061619
RETAILCAPS,100059740
RETAILCAPS,100048667
GKA,156066504
RETAILCAPS,100056306
RETAILCAPS,100055828
RETAILCAPS,100049711
RETAILCAPS,100036072
WHOLESALES,156062497
GKA,156054779
WHOLESALES,156066759
CS OTHERS,100040591
RETAILCAPS,100044655
RETAILCAPS,100039154
RETAILCAPS,PL5916V019
LKA,156063619
RETAILCAPS,100066411
RETAILCAPS,100056269
RETAILCAPS,100032678
RETAILCAPS,156064650
GKA,100122097
RETAILCAPS,100038698
RETAILCAPS,100058602
GKA,156055743
RETAILCAPS,100056110
GKA,100113176
RETAILCAPS,PL5890V015
CS OTHERS,100083409
CS OTHERS,100106288
RETAILCAPS,100038578
RETAILCAPS,100040879
RETAILCAPS,100058949
GKA,156065635
RETAILCAPS,100048138
CLUBES,100025377
RETAILCAPS,100064662
RETAILCAPS,100050175
LKA,156059599
GKA,100102290
LKA,156058614
RETAILCAPS,100038090
LKA,156065858
LKA,100080920
RETAILCAPS,100052504
CS OTHERS,100078797
RETAILCAPS,156100308
WHOLESALES,156065205
GKA,100030887
RETAILCAPS,100066385
RETAILCAPS,100048825
GKA,156055680
LKA,156059079
RETAILCAPS,100116660
RETAILCAPS,100061943
RETAILCAPS,100038296
RETAILCAPS,100063022
RETAILCAPS,100060669
WHOLESALES,156060657
CS OTHERS,156064287
RETAILCAPS,100073910
GKA,156058198
RETAILCAPS,100060406
LKA,156056330
RETAILCAPS,100060221
CS OTHERS,100055722
RETAILCAPS,100041168
RETAILCAPS,100051589
RETAILCAPS,100057146
RETAILCAPS,PL5876V010
WHOLESALES,156052185
RETAILCAPS,100062176
WHOLESALES,156065607
WHOLESALES,156060706
GKA,156058181
RETAILCAPS,100058267
CS OTHERS,156057292
GKA,100029345
CS OTHERS,156060364
NEWCHANNEL,100032092
RETAILCAPS,100064265
RETAILCAPS,156100161
CS OTHERS,156059061
RETAILCAPS,100062405
LKA,100062306
CS OTHERS,156062078
RETAILCAPS,100063584
NEWCHANNEL,100030426
RETAILCAPS,100055202
WHOLESALES,156052046
RETAILCAPS,100065545
RETAILCAPS,100033405
RETAILCAPS,100063219
GKA,156055349
RETAILCAPS,100061013
RETAILCAPS,PL5970V006
CS OTHERS,156062719
RETAILCAPS,100043204
RETAILCAPS,100055609
RETAILCAPS,100045609
LKA,100090549
RETAILCAPS,100049338
CS OTHERS,156060082
RETAILCAPS,156100266
RETAILCAPS,100058861
RETAILCAPS,156064640
RETAILCAPS,100050918
RETAILCAPS,100044583
RETAILCAPS,100057079
RETAILCAPS,100055576
GKA,156057203
WHOLESALES,156052987
RETAILCAPS,100044251
RETAILCAPS,100063487
LKA,156056485
RETAILCAPS,100058193
WHOLESALES,156060713
RETAILCAPS,PL5888S037
GKA,100030639
RETAILCAPS,100057678
RETAILCAPS,100047976
CLUBES,156058360
RETAILCAPS,100059731
RETAILCAPS,156100471
CS OTHERS,100098753
WHOLESALES,156053334
LKA,156062635
RETAILCAPS,100032730
WHOLESALES,156060609
RETAILCAPS,100039015
RETAILCAPS,100052325
RETAILCAPS,PL5901S022
LKA,156059641
RETAILCAPS,100038180
GKA,100035757
LKA,156054772
RETAILCAPS,PL5875S004
RETAILCAPS,100043813
RETAILCAPS,100053668
RETAILCAPS,100121578
RETAILCAPS,100056265
RETAILCAPS,100040250
LKA,156055050
RETAILCAPS,PL5864V015
LKA,156065546
RETAILCAPS,100043863
CS OTHERS,156059037
CS OTHERS,100088388
CS OTHERS,156058823
RETAILCAPS,100052900
RETAILCAPS,PL5883V033
LKA,156065551
RETAILCAPS,100062859
RETAILCAPS,PL5879V008
LKA,156059561
LKA,100097499
RETAILCAPS,156100182
RETAILCAPS,100047950
RETAILCAPS,100053583
RETAILCAPS,100065847
CS OTHERS,100079798
CS OXXO,156060209
WHOLESALES,156065890
WHOLESALES,156062433
RETAILCAPS,100060651
LKA,100106984
RETAILCAPS,156100331
RETAILCAPS,PL5889S019
RETAILCAPS,100038533
CLUBES,156055242
RETAILCAPS,100050181
CS OTHERS,100085710
CS OTHERS,100084125
CS OTHERS,156059968
CS OXXO,156061292
RETAILCAPS,100056462
RETAILCAPS,156059288
NEWCHANNEL,156057015
RETAILCAPS,PL5918S010
RETAILCAPS,100044252
CS OTHERS,156063243
RETAILCAPS,156063089
RETAILCAPS,100065908
WHOLESALES,156061850
RETAILCAPS,156059369
RETAILCAPS,PL5902S005
WHOLESALES,156062912
RETAILCAPS,100039346
RETAILCAPS,156100785
GKA,156055681
RETAILCAPS,100028753
RETAILCAPS,100027058
WHOLESALES,156060659
RETAILCAPS,156062982
RETAILCAPS,100039594
GKA,100029426
WHOLESALES,156061823
WHOLESALES,156060815
RETAILCAPS,100063437
RETAILCAPS,100037766
RETAILCAPS,156059403
GKA,156052997
RETAILCAPS,100049975
RETAILCAPS,100050141
RETAILCAPS,156063861
RETAILCAPS,PL5888S039
RETAILCAPS,100043992
RETAILCAPS,156100532
LKA,156065624
GKA,156058241
RETAILCAPS,100064764
LKA,100106996
WHOLESALES,156062269
GKA,100059637
RETAILCAPS,100054708
WHOLESALES,156061566
GKA,156055257
RETAILCAPS,100055107
RETAILCAPS,PL5891S001
LKA,156054678
GKA,100110087
NEWCHANNEL,156053410
GKA,156066722
WHOLESALES,156052338
RETAILCAPS,100060671
RETAILCAPS,100044515
CS OTHERS,100033626
RETAILCAPS,100066086
CS OTHERS,100033909
RETAILCAPS,PL5907S016
GKA,100113293
RETAILCAPS,100046100
RETAILCAPS,100050408
RETAILCAPS,100046848
RETAILCAPS,100047794
RETAILCAPS,100064685
